Rand1,Rand2,DVA,DVB,Entropy
9C,92,9C,B3,10
1E,54,1E,B5,10
67,8,67,90,20
E8,4,E8,8A,20
FA,46,FA,47,20
36,FF,36,C4,20
50,97,50,2B,10
43,BD,43,21,10
AC,86,AC,BC,20
D7,84,D7,D9,10
E7,A4,E7,90,20
2E,66,2E,BB,20
B1,B8,B1,BE,20
C3,5B,C3,21,20
0B,57,0B,FE,10
BE,81,BE,C7,10
C1,E2,C1,73,10
3B,3E,3B,C2,50
7F,B9,7F,F6,11
2,6D,2,F7,23
BF,54,BF,1A,11
B3,17,B3,6E,10
CA,7C,CA,28,10
2C,C6,2C,B9,10
F7,AA,F7,99,20
7A,58,7A,43,21
15,77,15,53,20
79,D5,79,EF,11
82,66,82,F4,20
D4,E4,D4,D6,20
6A,77,6A,90,10
1D,36,1D,0A,20
90,B1,90,55,10
4F,52,4F,81,11
AD,75,AD,B9,20
6B,6E,6B,3D,10
1B,0E,1B,9,20
3D,60,3D,1D,20
93,B5,93,1,10
4E,75,4E,79,90
77,A0,77,EE,20
69,47,69,8E,A0
2B,9,2B,65,10
F4,B3,F4,3F,20
9F,84,9F,5,20
8E,30,8E,A6,20
36,EC,36,C1,20
24,47,24,B4,20
CC,AE,CC,D1,20
42,8F,42,1E,20
5F,E9,5F,33,20
B9,0,B9,C0,10
5D,23,5D,D8,10
B4,F0,B4,BD,10
FA,91,FA,46,10
6C,F2,6C,90,10
8D,1A,8D,A7,20
42,9F,42,C6,11
63,62,63,DE,20
5F,54,5F,DF,10
5E,8A,5E,35,80
1,48,1,49,60
E2,98,E2,38,20
60,FD,60,34,10
BD,23,BD,75,20
B4,9D,B4,BF,10
E7,D9,E7,3B,10
4F,FE,4F,24,10
FE,5C,FE,9B,10
F7,6F,F7,ED,80
F8,50,F8,EF,10
CE,1F,CE,D0,20
67,56,67,3B,20
DB,34,DB,DC,10
D3,FB,D3,27,10
30,1D,30,C1,20
C7,48,C7,CF,20
D8,87,D8,82,90
5F,1,5F,DC,10
70,95,70,92,20
61,63,61,8C,10
63,3E,63,E2,10
45,AE,45,CA,20
55,BA,55,D9,20
23,A8,23,5C,20
1B,41,1B,B4,20
5E,89,5E,8A,20
AC,13,AC,63,10
E5,18,E5,8C,10
7E,2F,7E,9C,10
59,23,59,88,10
DC,80,DC,33,20
D7,2F,D7,84,20
7,90,7,F8,20
74,C2,74,97,20
5F,97,5F,8A,20
6E,A8,6E,EA,10
AC,6E,AC,0E,10
58,59,58,82,10
C8,28,C8,27,20
